No,Source,URL,Type
1,SBI Bluechip Fund – Official Page,https://www.sbimf.com/en-us/sbi-bluechip-fund,AMC
2,SBI Flexicap Fund – Official Page,https://www.sbimf.com/en-us/sbi-flexicap-fund,AMC
3,SBI Long Term Equity Fund (ELSS),https://www.sbimf.com/en-us/sbi-long-term-equity-fund,AMC
4,SBI MF Downloads (SID/KIM),https://www.sbimf.com/en-us/downloads,AMC
5,AMFI – NAV & TER Data,https://www.amfiindia.com/nav-history-download,AMFI
6,AMFI – Mutual Fund Info,https://www.amfiindia.com/mutual-fund,AMFI
7,SEBI – MF Categorisation Circular,https://www.sebi.gov.in/legal/circulars/jun-2017/categorization-and-rationalization-of-mutual-fund-schemes_34743.html,SEBI
8,SEBI – Riskometer Guidelines,https://www.sebi.gov.in/legal/circulars/oct-2020/product-labeling-in-mutual-funds_48001.html,SEBI
9,SEBI – Direct Plan Circular,https://www.sebi.gov.in/legal/circulars/sep-2012/direct-plan-for-schemes-of-mutual-funds_25621.html,SEBI
10,Groww – SBI Bluechip Fund,https://groww.in/mutual-funds/sbi-blue-chip-fund-direct-plan-growth,Groww
11,Groww – SBI Flexicap Fund,https://groww.in/mutual-funds/sbi-magnum-multicap-fund-direct-plan-growth,Groww
12,Groww – SBI ELSS Fund,https://groww.in/mutual-funds/sbi-magnum-tax-gain-fund,Groww
13,Groww – All SBI Schemes,https://groww.in/mutual-funds/filter?amc=sbi,Groww
14,Groww Support – Download Statement,https://support.groww.in/hc/en-us/articles/360027553551,Groww
15,MF Central – Scheme Documents,https://mfcentral.com,MFCentral
16,SBI MF – Investor Services,https://www.sbimf.com/en-us/investor-services/terms,AMC
17,CAMS – CAS Statement,https://www.camsonline.com/Investors/Statements/Consolidated-Account-Statement,CAMS
18,KFintech – CAS Statement,https://mfs.kfintech.com/investor/General/ConsolidatedAccountStatement,KFintech
19,AMFI – ELSS Fund List,https://www.amfiindia.com/elss-fund,AMFI
20,SEBI – Investor Education,https://investor.sebi.gov.in,SEBI
